image,true_count,predicted_count,error
frontFar__BLR-2018-04-19_17-26-55_frontFar__0006480,1,0,-1
frontFar__BLR-2018-04-19_17-26-55_frontFar__000768_r,1,1,0
frontFar__BLR-2018-04-19_17-26-55_frontFar__0007860,1,1,0
frontFar__BLR-2018-04-19_17-26-55_frontFar__0010320,1,2,1
frontFar__BLR-2018-04-19_17-26-55_frontFar__0010500,2,2,0
frontFar__BLR-2018-04-19_17-36-55_frontFar__000228_r,2,2,0
frontFar__BLR-2018-04-19_17-36-55_frontFar__000264_r,1,1,0
frontFar__BLR-2018-04-19_17-36-55_frontFar__0006660,5,4,-1
frontFar__BLR-2018-04-19_17-36-55_frontFar__000822_r,3,2,-1
frontFar__BLR-2018-04-19_17-36-55_frontFar__0015360,1,1,0
frontFar__BLR-2018-04-19_17-36-55_frontFar__001578_r,1,1,0
frontFar__BLR-2018-04-19_17-36-55_frontFar__001584_r,1,1,0
frontFar__BLR-2018-04-19_17-36-55_frontFar__0016740,2,2,0
frontFar__BLR-2018-04-19_17-56-55_frontFar__0000960,0,0,0
frontFar__BLR-2018-04-19_17-56-55_frontFar__000540_r,0,0,0
frontFar__BLR-2018-04-19_17-56-55_frontFar__000816_r,0,0,0
frontFar__BLR-2018-04-19_17-56-55_frontFar__0009420,1,0,-1
frontFar__BLR-2018-04-19_17-56-55_frontFar__001722_r,2,1,-1
frontFar__BLR-2018-04-19_18-06-55_frontFar__0002100,1,1,0
frontFar__BLR-2018-04-19_18-06-55_frontFar__0010020,5,4,-1
frontFar__BLR-2018-04-19_18-06-55_frontFar__0010140,2,1,-1
frontFar__BLR-2018-04-19_18-06-55_frontFar__001014_r,2,2,0
frontFar__BLR-2018-04-19_18-06-55_frontFar__001452_r,1,1,0
frontFar__BLR-2018-04-19_18-06-55_frontFar__0017880,0,0,0
frontFar__BLR-2018-04-26_12-50-01_frontFar__0015780,7,5,-2
frontFar__BLR-2018-04-26_13-40-01_frontFar__000222_r,4,3,-1
frontFar__BLR-2018-04-26_13-40-01_frontFar__000366_r,1,1,0
frontFar__BLR-2018-04-26_13-40-01_frontFar__0007620,12,10,-2
frontNear__BLR-2018-03-22_17-39-26_3_frontNear__000312_r,4,4,0
frontNear__BLR-2018-03-22_17-39-26_3_frontNear__000498_r,2,1,-1
frontNear__BLR-2018-03-22_17-39-26_3_frontNear__000534_r,3,5,2
frontNear__BLR-2018-04-16_16-04-27_frontNear__0002040,1,1,0
frontNear__BLR-2018-04-16_16-04-27_frontNear__0003240,2,2,0
frontNear__BLR-2018-04-16_16-04-27_frontNear__0007680,1,1,0
frontNear__BLR-2018-04-16_16-14-27_frontNear__0000240,1,1,0
frontNear__BLR-2018-04-16_16-14-27_frontNear__0000360,2,2,0
frontNear__BLR-2018-04-16_16-14-27_frontNear__0000720,1,1,0
frontNear__BLR-2018-04-16_16-14-27_frontNear__000072_r,1,1,0
frontNear__BLR-2018-04-16_16-14-27_frontNear__000150_r,4,1,-3
frontNear__BLR-2018-04-16_16-14-27_frontNear__000186_r,1,0,-1
frontNear__BLR-2018-04-19_17-06-55_frontNear__0006240,1,0,-1
frontNear__BLR-2018-04-19_17-06-55_frontNear__000756_r,2,2,0
frontNear__BLR-2018-04-19_17-06-55_frontNear__000792_r,3,2,-1
frontNear__BLR-2018-04-19_17-06-55_frontNear__000876_r,0,1,1
frontNear__BLR-2018-04-19_17-26-55_frontNear__000522_r,2,1,-1
frontNear__BLR-2018-04-19_17-36-55_frontNear__0000420,2,1,-1
frontNear__BLR-2018-04-19_17-36-55_frontNear__000138_r,1,0,-1
frontNear__BLR-2018-04-19_17-36-55_frontNear__0001740,2,0,-2
frontNear__BLR-2018-04-19_17-36-55_frontNear__000492_r,3,0,-3
frontNear__BLR-2018-04-19_17-36-55_frontNear__000498_r,2,0,-2
frontNear__BLR-2018-04-19_17-36-55_frontNear__0006660,2,2,0
frontNear__BLR-2018-04-19_17-36-55_frontNear__0008340,2,2,0
frontNear__BLR-2018-04-19_17-46-55_frontNear__000618_r,1,0,-1
frontNear__BLR-2018-04-19_17-46-55_frontNear__000774_r,0,1,1
frontNear__BLR-2018-04-19_18-16-55_frontNear__0004140,3,2,-1
frontNear__BLR-2018-04-26_12-40-01_frontNear__0002880,15,16,1
frontNear__BLR-2018-04-26_12-50-01_frontNear__0007800,10,5,-5
frontNear__BLR-2018-05-07_12-01-06_frontNear__0007020,11,11,0
frontNear__BLR-2018-05-14_11-48-09_frontNear__000360_r,5,5,0
frontNear__BLR-2018-05-14_13-38-46_frontNear__000156_r,1,1,0
frontNear__BLR-2018-05-14_13-38-46_frontNear__000372_r,5,5,0
frontNear__BLR-2018-05-14_13-38-46_frontNear__0004140,1,1,0
frontNear__BLR-2018-05-14_13-59-12_frontNear__000510_r,3,4,1
frontNear__BLR-2018-05-17_15-23-02_frontNear__000504_r,1,1,0
frontNear__BLR-2018-05-17_16-22-00_frontNear__0000240,6,6,0
frontNear__BLR-2018-05-17_16-22-00_frontNear__000150_r,7,7,0
frontNear__BLR-2018-05-17_16-32-30_frontNear__000360_r,3,3,0
frontNear__BLR-2018-05-17_16-39-05_frontNear__000024_r,3,2,-1
frontNear__BLR-2018-05-17_16-39-05_frontNear__000090_r,0,0,0
frontNear__BLR-2018-05-17_16-39-05_frontNear__000414_r,3,0,-3
frontNear__BLR-2018-05-22_11-54-07_frontNear__0006135,9,7,-2
frontNear__BLR-2018-05-22_12-04-54_frontNear__0008430,8,7,-1
frontNear__BLR-2018-05-22_12-04-54_frontNear__001090_r,9,4,-5
frontNear__BLR-2018-05-22_12-24-44_frontNear__000280_r,8,10,2
frontNear__BLR-2018-05-23_12-45-57_frontNear__0008460,2,2,0
frontNear__BLR-2018-05-29_10-49-32_frontNear__0005505,4,4,0
frontNear__BLR-2018-05-29_10-49-32_frontNear__0005865,0,0,0
frontNear__BLR-2018-05-29_10-49-32_frontNear__0006000,2,2,0
frontNear__BLR-2018-05-29_10-49-32_frontNear__000609_r,1,1,0
frontNear__BLR-2018-05-29_10-49-32_frontNear__0006585,4,5,1
frontNear__BLR-2018-05-29_10-59-01_frontNear__0001995,2,1,-1
frontNear__BLR-2018-05-29_10-59-01_frontNear__000235_r,6,3,-3
frontNear__BLR-2018-05-29_10-59-01_frontNear__0005775,1,1,0
frontNear__BLR-2018-05-29_11-08-34_frontNear__0003120,3,3,0
frontNear__BLR-2018-05-29_11-08-34_frontNear__0003255,3,3,0
frontNear__BLR-2018-05-29_11-08-34_frontNear__000379_r,1,1,0
frontNear__BLR-2018-05-29_11-08-34_frontNear__0004110,2,2,0
frontNear__BLR-2018-05-29_11-08-34_frontNear__0008925,7,8,1
frontNear__BLR-2018-05-29_11-55-34_frontNear__0001725,2,2,0
frontNear__BLR-2018-06-05_08-28-17_frontNear__0004560,5,4,-1
frontNear__BLR-2018-06-05_08-28-17_frontNear__0008385,4,5,1
frontNear__BLR-2018-06-05_08-28-17_frontNear__0009195,3,3,0
frontNear__BLR-2018-06-05_08-50-18_frontNear__0002805,1,1,0
frontNear__BLR-2018-06-05_08-50-18_frontNear__0006855,7,8,1
frontNear__BLR-2018-06-05_08-50-18_frontNear__0008160,5,5,0
frontNear__BLR-2018-06-05_08-50-18_frontNear__0008385,5,5,0
frontNear__BLR-2018-06-05_08-50-18_frontNear__000960_r,5,5,0
frontNear__BLR-2018-06-05_08-50-18_frontNear__001351_r,5,6,1
highquality_16k__2018-05-31_11-10-16__2018-05-31_11-12-39-265657_leftImg8bit,30,24,-6
highquality_16k__2018-05-31_11-10-16__2018-05-31_11-14-48-904331_leftImg8bit,24,18,-6
highquality_16k__2018-05-31_13-01-28__2018-05-31_13-11-21-112366_leftImg8bit,15,12,-3
highquality_16k__2018-05-31_13-01-28__2018-05-31_13-18-11-691843_leftImg8bit,19,12,-7
highquality_16k__2018-05-31_13-01-28__2018-05-31_13-22-28-982835_leftImg8bit,13,11,-2
highquality_16k__BLR-2018-04-02_16-27-59__0001602,0,0,0
highquality_16k__BLR-2018-04-02_16-27-59__0005534,0,0,0
highquality_16k__BLR-2018-04-02_16-27-59__0007321,0,2,2
highquality_16k__BLR-2018-04-02_16-47-59__0001499,2,1,-1
highquality_16k__BLR-2018-04-02_16-47-59__0002549,0,0,0
highquality_16k__BLR-2018-04-02_17-07-59__0006730,12,4,-8
highquality_16k__BLR-2018-04-02_17-07-59__0008530,9,5,-4
highquality_16k__BLR-2018-04-02_17-17-59__0002549,23,19,-4
highquality_16k__BLR-2018-04-16_15-24-27__0001135,1,1,0
highquality_16k__BLR-2018-04-16_15-24-27__0004274,6,5,-1
highquality_16k__BLR-2018-04-16_15-34-27__0001700,4,6,2
highquality_16k__BLR-2018-04-16_15-34-27__0003286,5,3,-2
highquality_16k__BLR-2018-04-16_15-34-27__0005836,2,1,-1
highquality_16k__BLR-2018-04-16_15-34-27__0007053,8,5,-3
highquality_16k__BLR-2018-04-16_15-34-27__0008403,12,7,-5
highquality_16k__BLR-2018-04-16_15-44-27__0002031,1,1,0
highquality_16k__BLR-2018-04-16_16-14-27__0000299,1,1,0
highquality_16k__BLR-2018-04-16_16-14-27__0000958,1,0,-1
highquality_16k__BLR-2018-04-16_16-14-27__0005335,5,2,-3
highquality_16k__BLR-2018-04-16_16-14-27__0006235,14,8,-6
highquality_16k__BLR-2018-04-16_16-14-27__0007854,6,5,-1
highquality_16k__BLR-2018-04-16_16-14-27__0008527,2,3,1
highquality_16k__BLR-2018-04-19_17-16-55__0004949,0,0,0
highquality_16k__BLR-2018-04-19_17-16-55__0005249,0,0,0
highquality_16k__BLR-2018-04-19_17-26-55__0005608,0,0,0
highquality_16k__BLR-2018-04-19_17-26-55__0008758,1,0,-1
highquality_16k__BLR-2018-04-19_17-36-55__0005848,3,0,-3
highquality_16k__BLR-2018-04-19_17-36-55__0008098,1,1,0
highquality_16k__BLR-2018-04-19_17-36-55__0008248,3,2,-1
highquality_16k__BLR-2018-04-19_17-46-55__0005548,3,1,-2
highquality_16k__BLR-2018-04-19_17-46-55__0006448,2,1,-1
highquality_16k__BLR-2018-04-19_18-06-55__0007198,2,2,0
highquality_16k__BLR-2018-04-25_08-49-01_frontNear_left__0000210,6,7,1
highquality_16k__BLR-2018-04-25_08-49-01_frontNear_left__0005310,17,15,-2
highquality_16k__BLR-2018-04-25_09-00-13_frontNear_left__0002310,11,10,-1
highquality_16k__BLR-2018-04-25_09-00-13_frontNear_left__0005610,14,8,-6
highquality_16k__BLR-2018-04-25_09-23-33_frontNear_left__0006210,20,11,-9
highquality_16k__BLR-2018-04-25_13-30-42_frontNear_left__0009510,15,7,-8
highquality_16k__BLR-2018-04-26_13-20-01_frontNear_left__0004260,36,25,-11
highquality_16k__BLR-2018-04-26_13-20-01_frontNear_left__0008910,37,21,-16
highquality_16k__BLR-2018-04-26_13-35-08_frontNear_left__0007410,16,14,-2
highquality_16k__BLR-2018-04-26_13-47-52_frontNear_left__0003960,20,17,-3
highquality_16k__BLR-2018-04-26_13-47-52_frontNear_left__0006210,6,5,-1
highquality_16k__BLR-2018-04-26_13-47-52_frontNear_left__0008010,14,11,-3
highquality_16k__BLR-2018-04-26_13-47-52_frontNear_left__0008610,5,4,-1
highquality_16k__BLR-2018-04-26_14-10-59_frontNear_left__0003210,6,2,-4
highquality_16k__BLR-2018-04-30_13-29-45_frontNear_left__0002310,17,10,-7
highquality_16k__BLR-2018-05-03_14-05-29__0000896,20,12,-8
highquality_16k__BLR-2018-05-03_14-05-29__0001976,35,26,-9
highquality_16k__BLR-2018-05-03_14-05-29__0005666,21,15,-6
highquality_16k__BLR-2018-05-03_14-05-29__0007667,20,16,-4
highquality_16k__BLR-2018-05-03_14-05-29_rearNear_left__0001658,18,15,-3
highquality_16k__BLR-2018-05-03_14-05-29_rearNear_left__0002420,18,15,-3
highquality_16k__BLR-2018-05-03_14-05-29_rearNear_left__0003789,15,13,-2
highquality_16k__BLR-2018-05-03_14-05-29_rearNear_left__0004594,20,15,-5
highquality_16k__BLR-2018-05-03_14-05-29_rearNear_left__0005117,11,9,-2
highquality_16k__BLR-2018-05-03_14-05-29_rearNear_left__0006529,28,26,-2
highquality_16k__BLR-2018-05-03_14-05-29_rearNear_left__0007994,21,18,-3
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_left__0001668,8,13,5
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_left__0001921,14,11,-3
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_left__0003522,9,9,0
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_left__0003775,12,11,-1
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_left__0003924,10,13,3
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_left__0004433,6,6,0
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_left__0007096,5,7,2
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_right__0000520,8,5,-3
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_right__0002754,2,1,-1
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_right__0004008,12,16,4
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_right__0004247,5,6,1
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_right__0005085,0,0,0
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_right__0006173,11,10,-1
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_right__0006778,8,11,3
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_right__0007228,5,5,0
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_right__0008409,12,12,0
highquality_16k__BLR-2018-05-03_14-05-29_sideLeft_right__0008873,17,17,0
highquality_16k__BLR-2018-05-03_14-05-29_sideRight_left__0000150,8,6,-2
highquality_16k__BLR-2018-05-03_14-05-29_sideRight_left__0001410,19,16,-3
highquality_16k__BLR-2018-05-03_14-05-29_sideRight_left__0007620,9,10,1
highquality_16k__BLR-2018-05-03_14-05-29_sideRight_left__0007980,5,2,-3
highquality_16k__BLR-2018-05-03_14-05-29_sideRight_right__0000555,3,2,-1
highquality_16k__BLR-2018-05-03_14-05-29_sideRight_right__0000915,10,8,-2
highquality_16k__BLR-2018-05-03_14-05-29_sideRight_right__0003359,1,1,0
highquality_16k__BLR-2018-05-03_14-05-29_sideRight_right__0003854,8,7,-1
highquality_16k__BLR-2018-05-03_14-05-29_sideRight_right__0006388,14,9,-5
highquality_16k__BLR-2018-05-03_14-05-29_sideRight_right__0006849,3,2,-1
highquality_16k__BLR-2018-05-03_14-05-29_sideRight_right__0007929,8,7,-1
highquality_16k__BLR-2018-05-03_14-15-50_rearNear_left__0001005,10,10,0
highquality_16k__BLR-2018-05-03_14-15-50_rearNear_left__0002715,18,12,-6
highquality_16k__BLR-2018-05-03_14-15-50_rearNear_left__0003120,26,18,-8
highquality_16k__BLR-2018-05-03_14-15-50_rearNear_left__0003615,22,7,-15
highquality_16k__BLR-2018-05-03_14-15-50_rearNear_left__0007575,20,15,-5
highquality_16k__BLR-2018-05-03_14-15-50_rearNear_left__0008385,15,13,-2
highquality_16k__BLR-2018-05-03_14-15-50_rearNear_left__0009285,27,14,-13
highquality_16k__BLR-2018-05-03_14-15-50_rearNear_right__0000105,9,9,0
highquality_16k__BLR-2018-05-03_14-15-50_rearNear_right__0002099,18,18,0
highquality_16k__BLR-2018-05-03_14-15-50_rearNear_right__0003657,9,6,-3
highquality_16k__BLR-2018-05-03_14-15-50_rearNear_right__0005907,2,2,0
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_left__0000915,6,5,-1
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_left__0002850,13,9,-4
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_left__0004425,4,5,1
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_left__0005550,9,6,-3
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_left__0008250,9,8,-1
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_left__0008340,11,10,-1
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_left__0008655,7,3,-4
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_right__0001123,20,15,-5
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_right__0005378,11,8,-3
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_right__0005783,9,7,-2
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_right__0006008,17,15,-2
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_right__0006975,6,5,-1
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_right__0007425,3,4,1
highquality_16k__BLR-2018-05-03_14-15-50_sideLeft_right__0007515,3,2,-1
highquality_16k__BLR-2018-05-03_14-15-50_sideRight_right__0000105,1,1,0
highquality_16k__BLR-2018-05-03_14-15-50_sideRight_right__0002535,3,3,0
highquality_16k__BLR-2018-05-03_14-15-50_sideRight_right__0002805,3,3,0
highquality_16k__BLR-2018-05-03_14-15-50_sideRight_right__0003750,1,1,0
highquality_16k__BLR-2018-05-03_14-15-50_sideRight_right__0003840,1,1,0
highquality_16k__BLR-2018-05-03_14-15-50_sideRight_right__0004650,4,5,1
highquality_16k__BLR-2018-05-03_14-15-50_sideRight_right__0004785,4,4,0
highquality_16k__BLR-2018-05-03_14-15-50_sideRight_right__0005145,3,3,0
highquality_16k__BLR-2018-05-03_14-15-50_sideRight_right__0005190,3,3,0
highquality_16k__BLR-2018-05-03_14-15-50_sideRight_right__0007395,2,2,0
highquality_16k__BLR-2018-05-03_14-15-50_sideRight_right__0007980,2,3,1
highquality_16k__BLR-2018-05-03_14-26-52_rearNear_right__0000389,20,12,-8
highquality_16k__BLR-2018-05-03_14-26-52_rearNear_right__0001168,7,4,-3
highquality_16k__BLR-2018-05-03_14-26-52_rearNear_right__0003955,8,6,-2
highquality_16k__BLR-2018-05-03_14-26-52_rearNear_right__0004225,9,7,-2
highquality_16k__BLR-2018-05-03_14-26-52_rearNear_right__0005976,11,10,-1
highquality_16k__BLR-2018-05-03_14-26-52_sideLeft_left__0007347,3,3,0
highquality_16k__BLR-2018-05-03_14-26-52_sideLeft_left__0007572,4,6,2
highquality_16k__BLR-2018-05-03_14-26-52_sideLeft_left__0007842,7,3,-4
highquality_16k__BLR-2018-05-03_14-26-52_sideLeft_left__0008742,7,5,-2
highquality_16k__BLR-2018-05-03_14-26-52_sideLeft_right__0001140,11,7,-4
highquality_16k__BLR-2018-05-03_14-26-52_sideLeft_right__0001905,13,13,0
highquality_16k__BLR-2018-05-03_14-26-52_sideLeft_right__0003120,10,9,-1
highquality_16k__BLR-2018-05-03_14-26-52_sideLeft_right__0007350,3,3,0
highquality_16k__BLR-2018-05-03_14-26-52_sideLeft_right__0007665,6,7,1
highquality_16k__BLR-2018-05-03_14-26-52_sideLeft_right__0008655,5,4,-1
highquality_16k__BLR-2018-05-03_14-26-52_sideLeft_right__0008970,6,5,-1
highquality_16k__BLR-2018-05-03_14-26-52_sideLeft_right__0009105,3,3,0
highquality_16k__BLR-2018-05-03_14-39-45_rearNear_left__0003525,10,9,-1
highquality_16k__BLR-2018-05-03_14-39-45_rearNear_right__0003480,10,11,1
highquality_16k__BLR-2018-05-03_14-39-45_sideLeft_left__0002130,2,2,0
highquality_16k__BLR-2018-05-03_14-39-45_sideLeft_left__0003300,6,5,-1
highquality_16k__BLR-2018-05-03_14-39-45_sideLeft_left__0003795,8,9,1
highquality_16k__BLR-2018-05-03_14-39-45_sideLeft_left__0005775,2,1,-1
highquality_16k__BLR-2018-05-03_14-39-45_sideLeft_left__0006225,2,2,0
highquality_16k__BLR-2018-05-03_14-39-45_sideLeft_left__0006945,7,6,-1
highquality_16k__BLR-2018-05-03_14-39-45_sideLeft_left__0008205,17,12,-5
highquality_16k__BLR-2018-05-03_14-39-45_sideRight_left__0003239,0,0,0
highquality_16k__BLR-2018-05-03_14-39-45_sideRight_left__0004077,6,4,-2
highquality_16k__BLR-2018-05-03_14-39-45_sideRight_right__0000735,7,7,0
highquality_16k__BLR-2018-05-03_14-39-45_sideRight_right__0002085,14,14,0
highquality_16k__BLR-2018-05-03_14-39-45_sideRight_right__0003795,0,0,0
highquality_16k__BLR-2018-05-03_14-39-45_sideRight_right__0005055,2,2,0
highquality_16k__BLR-2018-05-03_14-39-45_sideRight_right__0005595,7,8,1
highquality_16k__BLR-2018-05-03_14-39-45_sideRight_right__0006270,7,6,-1
highquality_16k__BLR-2018-05-03_14-39-45_sideRight_right__0006360,3,3,0
highquality_16k__BLR-2018-05-03_14-39-45_sideRight_right__0006720,8,8,0
highquality_16k__BLR-2018-05-03_14-39-45_sideRight_right__0008520,7,7,0
highquality_16k__BLR-2018-05-11_13-42-30__0003982,11,8,-3
highquality_16k__BLR-2018-05-11_13-42-30__0005782,16,12,-4
highquality_16k__BLR-2018-05-11_13-42-30__0005872,16,6,-10
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0000105,12,14,2
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0000375,28,26,-2
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0001151,18,20,2
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0002292,10,9,-1
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0002337,10,10,0
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0002500,11,9,-2
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0002559,12,11,-1
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0004460,15,14,-1
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0005855,11,11,0
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0006170,10,9,-1
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0006814,10,10,0
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_left__0007351,14,14,0
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_right__0002040,6,5,-1
highquality_16k__BLR-2018-05-11_13-42-30_rearNear_right__0002760,13,14,1
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_left__0000510,22,14,-8
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_left__0001095,27,17,-10
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_left__0001320,3,0,-3
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_left__0001590,1,1,0
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_left__0003030,12,5,-7
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_left__0003660,3,2,-1
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_left__0004380,1,0,-1
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_right__0001185,3,3,0
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_right__0001545,2,2,0
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_right__0002490,5,3,-2
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_right__0002940,5,3,-2
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_right__0005415,10,9,-1
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_right__0005505,7,9,2
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_right__0005730,9,6,-3
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_right__0006810,4,1,-3
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_right__0007080,6,4,-2
highquality_16k__BLR-2018-05-11_13-42-30_sideLeft_right__0007395,11,8,-3
highquality_16k__BLR-2018-05-11_13-42-30_sideRight_right__0001511,4,2,-2
highquality_16k__BLR-2018-05-11_13-42-30_sideRight_right__0001961,8,6,-2
highquality_16k__BLR-2018-05-11_13-42-30_sideRight_right__0002231,10,9,-1
highquality_16k__BLR-2018-05-11_13-42-30_sideRight_right__0002411,10,7,-3
highquality_16k__BLR-2018-05-11_13-42-30_sideRight_right__0002636,9,9,0
highquality_16k__BLR-2018-05-11_13-42-30_sideRight_right__0002951,7,7,0
highquality_16k__BLR-2018-05-11_13-42-30_sideRight_right__0003086,5,5,0
highquality_16k__BLR-2018-05-11_13-42-30_sideRight_right__0006155,2,2,0
highquality_16k__BLR-2018-05-11_13-42-30_sideRight_right__0006200,6,4,-2
highquality_16k__BLR-2018-05-11_13-42-30_sideRight_right__0006664,2,2,0
highquality_16k__BLR-2018-05-11_13-53-01__0000959,16,19,3
highquality_16k__BLR-2018-05-11_13-53-01__0003418,19,14,-5
highquality_16k__BLR-2018-05-11_13-53-01__0005147,21,15,-6
highquality_16k__BLR-2018-05-11_13-53-01__0005206,20,16,-4
highquality_16k__BLR-2018-05-11_13-53-01_sideLeft_left__0000510,10,11,1
highquality_16k__BLR-2018-05-11_13-53-01_sideLeft_left__0002085,2,2,0
highquality_16k__BLR-2018-05-11_13-53-01_sideLeft_left__0003615,5,5,0
highquality_16k__BLR-2018-05-11_13-53-01_sideLeft_right__0001860,0,0,0
highquality_16k__BLR-2018-05-11_13-53-01_sideLeft_right__0002535,4,2,-2
highquality_16k__BLR-2018-05-11_14-09-20__0004988,23,20,-3
highquality_16k__BLR-2018-05-11_14-09-20_rearNear_left__0000105,15,8,-7
highquality_16k__BLR-2018-05-11_14-09-20_rearNear_left__0001950,21,14,-7
highquality_16k__BLR-2018-05-11_14-09-20_rearNear_left__0003390,4,6,2
highquality_16k__BLR-2018-05-11_14-09-20_rearNear_left__0005820,7,7,0
highquality_16k__BLR-2018-05-11_14-09-20_sideLeft_left__0000645,1,1,0
